-20 	0.000317069
-10 	0.0348776
0 	0.0364629
10 	0.000669368
20 	0.000598908
30 	0.000457988
40 	0.000317069
50 	0.000739827
60 	0.000775057
70 	0.00211379
80 	0.00225471
90 	0.00211379
100 	0.00162057
110 	0.00190241
120 	0.00147965
130 	0.0010569
140 	0.00112736
150 	0.00109213
160 	0.000704597
170 	0.000845517
180 	0.000563678
190 	0.000775057
200 	0.000704597
210 	0.000739827
220 	0.000598908
230 	0.000457988
240 	0.000704597
250 	0.000704597
260 	0.000704597
270 	0.000704597
280 	0.000598908
290 	0.0010569
300 	0.000211379
310 	0.000211379
